TICKET_ID,CUST_IP,QUERY_JSON,QUERY_TYPE,CUST_USERNAME,TICKET_STATUS,ASSISTING_STAFF_JSON
vTIJNFrFzM,2405:9800:ba02:402:29c6:1d66:3016:df36,"{""Queries"":[{""Query"":""VGhpcyB0aWNrZXQgd2FzIG1hcmtlZCBhcyByZXNvbHZlZCBieSBtaW5pa2lkMTMz"",""Member"":""minikid133"",""IsStaff"":false,""Rank"":""N/A"",""Query_Date"":""2021-03-28""},{""Query"":""ZXhwbGFpbiB0aGUgaXNzdWU="",""Member"":""minikid133"",""IsStaff"":true,""Rank"":""Staff Member"",""Query_Date"":""2021-03-26""},{""Query"":""SSBqdXN0IGJvdWdodCBpdCBmb3IgYSB3aGlsZSwgYnV0IHRva2VuIG5vdCBmb3VuZA=="",""Member"":""Ppconut"",""IsStaff"":false,""Rank"":""Free Member"",""Query_Date"":""2021-03-26""}]}",Bug Report,Ppconut,SOLVED,<blank>
TS3XijwQBr,85.173.132.153,"{""Queries"":[{""Query"":""VGhpcyB0aWNrZXQgd2FzIG1hcmtlZCBhcyByZXNvbHZlZCBieSBJY2VQb29scw=="",""Member"":""IcePools"",""IsStaff"":false,""Rank"":""N/A"",""Query_Date"":""2021-03-27""},{""Query"":""SSByZW1vdmVkIHRoZSBzZWN1cml0eSBwaW4gb24gdGhlIGFjY291bnQgQlVLTEVS"",""Member"":""IcePools"",""IsStaff"":true,""Rank"":""Head of Operations"",""Query_Date"":""2021-03-27""},{""Query"":""d2hhdHMgbmV4dD8="",""Member"":""Ahnud"",""IsStaff"":false,""Rank"":""Free Member"",""Query_Date"":""2021-03-27""},{""Query"":""QlVLTEVS"",""Member"":""Ahnud"",""IsStaff"":false,""Rank"":""Free Member"",""Query_Date"":""2021-03-27""},{""Query"":""V2hhdHMgeW91ciBTaXJIdXJ0IHVzZXJuYW1lPw=="",""Member"":""IcePools"",""IsStaff"":true,""Rank"":""Head of Operations"",""Query_Date"":""2021-03-27""},{""Query"":""aSBmb3Jnb3QgcGluIGFuZCBjYW50IGxvZyBpbiBhY2NvdW50"",""Member"":""Ahnud"",""IsStaff"":false,""Rank"":""Free Member"",""Query_Date"":""2021-03-27""},{""Query"":""VG8gcmVtb3ZlIHlvdXIgc2VjdXJpdHkgcGluIGhlYWQgb3ZlciB0byBodHRwczovL3Npcmh1cnQubmV0L2xvZ2luL2FjY291bnQucGhwIGFuZCBjbGljayBTZWN1cml0eSBlbnRlciBub3RoaW5nIGluIGJvdGggcGluIGJveGVzIHRoZW4gZW50ZXIgeW91ciBzaXJodXJ0IHBhc3N3b3JkIGZvciBjb25maXJtYXRpb24sIHRoZW4gY2xpY2sgQ2hhbmdlIFNlY3VyaXR5IHBpbi4gIEEgc2VjdXJpdHkgcGluIHdpbGwgbm8gbG9uZ2VyIGJlIGFjdGl2ZSBvbiB5b3VyIGFjY291bnQgYW5kIHlvdSBjYW4gZWFzaWx5IGFkZCBhbm90aGVyIG9uZSBsYXRlciBkb3duIHRoZSByb2FkLg=="",""Member"":""IcePools"",""IsStaff"":true,""Rank"":""Head of Operations"",""Query_Date"":""2021-03-26""},{""Query"":""SG93IHRvIGNoYW5nZSBzZWN1cml0eSBwaW4="",""Member"":""Ahnud"",""IsStaff"":false,""Rank"":""Free Member"",""Query_Date"":""2021-03-26""},{""Query"":""aGVsbG8="",""Member"":""Ahnud"",""IsStaff"":false,""Rank"":""Free Member"",""Query_Date"":""2021-03-26""},{""Query"":""Z290Y2hh"",""Member"":""austiin"",""IsStaff"":true,""Rank"":""Department Supervisor"",""Query_Date"":""2021-03-26""},{""Query"":""d2FpdCBmb3IgaGltIHRvIHJlc3BvbmQgdG8gdGlja2V0"",""Member"":""minikid133"",""IsStaff"":true,""Rank"":""Staff Member"",""Query_Date"":""2021-03-26""},{""Query"":""aG93IGNhbiBpIGZpbmQgYXVzdGlu"",""Member"":""Ahnud"",""IsStaff"":false,""Rank"":""Free Member"",""Query_Date"":""2021-03-26""},{""Query"":""YXNrIGF1c3RpbiB0byBjaGFuZ2UgYmVjYXVzZSBpIGRvbnQgaGF2ZSBwZXJtcw=="",""Member"":""minikid133"",""IsStaff"":true,""Rank"":""Staff Member"",""Query_Date"":""2021-03-26""},{""Query"":""d2hhdCBpZiBpIGZvcmdvdCBzZWN1cml0eSBwaW4/IEhvdyB0byBjaGFuZ2U="",""Member"":""Ahnud"",""IsStaff"":false,""Rank"":""Free Member"",""Query_Date"":""2021-03-26""}]}",General Inquiry,Ahnud,SOLVED,<blank>
WeHsXlSxuK,77.96.148.136,"{""Queries"":[{""Query"":""VGhpcyB0aWNrZXQgd2FzIG1hcmtlZCBhcyByZXNvbHZlZCBieSBtaW5pa2lkMTMz"",""Member"":""minikid133"",""IsStaff"":true,""Rank"":""N/A"",""Query_Date"":""2021-04-02""},{""Query"":""YmhsbnN0eXouZXhlLmRsbCBpcyB0aGUgZGxsIHRoYXQgbmVlZHMgdG8gYmUgaW5qZWN0ZWQ="",""Member"":""IcePools"",""IsStaff"":true,""Rank"":""Head of Operations"",""Query_Date"":""2021-04-02""},{""Query"":""bm93IGl0IGNyYXNoZXMgb24gaW5qZWN0Li4uLi4="",""Member"":""Vampient"",""IsStaff"":false,""Rank"":""Licensed User"",""Query_Date"":""2021-04-02""},{""Query"":""WW8gdGhhbmsgeW91ISBJdCB3b3JrZWQuIEl0cyB0aGUgYmhsbnN0eXouZXhlLmRsbCB0aGF0IHdhc250IGluamVjdGluZy4="",""Member"":""Vampient"",""IsStaff"":false,""Rank"":""Licensed User"",""Query_Date"":""2021-04-02""},{""Query"":""eW91IGNvdWxkIGFsd2F5cyB0cnkgZXh0cmVtZSBpbmplY3Rvci4gaHR0cHM6Ly93ZWFyZWRldnMubmV0L2QvRXh0cmVtZSUyMEluamVjdG9y"",""Member"":""IcePools"",""IsStaff"":true,""Rank"":""Head of Operations"",""Query_Date"":""2021-03-30""},{""Query"":""dGhlIGRsbCBpbmplY3RvciBkb250IHdvcmsgZWl0aGVy"",""Member"":""Vampient"",""IsStaff"":false,""Rank"":""Licensed User"",""Query_Date"":""2021-03-30""},{""Query"":""VmVyeSB1bmxpa2VseSBkdWUgdG8gdGhlIGZhY3QgdGhhdCBNdWx0aSBQcm9jZXNzIG1vZGUgdXNlcyBhIGRpZmZlcmVudGx5IGNvZGVkIGluamVjdG9yIHRoYW4gdGhlIHN0YW5kYXJkIG9uZSBwcm9jZXNzIGluamVjdGlvbi4gKGl0IHVzZXMgdGhlIG9sZCBpbmplY3Rpb24gbWV0aG9kKS4gIFlvdSBjYW4gZWFzaWx5IGdvb2dsZSBkbGwgaW5qZWN0b3JzIGFuZCB0cnkgdG8gZmluZCBvbmUgdGhhdCB3b3JrcyBmb3IgeW91Lg=="",""Member"":""IcePools"",""IsStaff"":true,""Rank"":""Head of Operations"",""Query_Date"":""2021-03-30""},{""Query"":""Q2FuIHNvbWVvbmUgc2VuZCBtZSBhbiBpbmplY3RvciBwbGVhc2UgSSB0aGluayB0aGF0cyB0aGUgcHJvYmxlbQ=="",""Member"":""Vampient"",""IsStaff"":false,""Rank"":""Licensed User"",""Query_Date"":""2021-03-30""},{""Query"":""SSBhcG9sb2dpemUgdGhlbiBidXQgSW0gbm90IHJlYWxseSBzdXJlIHdoYXQgeW91ciBwcm9ibGVtIGlzIG9yIGhvdyB0byBhc3Npc3QgeW91LiBZb3UgY2FuIGtlZXAgeW91ciB0aWNrZXQgb3BlbiB0byBzZWUgaWYgc29tZW9uZSBlbHNlIG9uIG15IHN1cHBvcnQgdGVhbSBjYW4gdGhyb3cgaW4gc29tZXRoaW5nIHRvIHRoZSBwb3QgdGhhdCBJIG1pZ2h0IG9mIG1pc3NlZCwgYnV0IHRoYXRzIHByZXR0eSBtdWNoIHRoZSBvbmx5IGNhdXNlcyAmIHNvbHV0aW9ucy4gSSBjYW4gdGhpbmsgb2YuXG5cbkFwb2xvZ2llcyw="",""Member"":""IcePools"",""IsStaff"":true,""Rank"":""Head of Operations"",""Query_Date"":""2021-03-29""},{""Query"":""Tm90IHRoZXJlIGh0dHBzOi8vcHJudC5zYy8xMHo2d2do"",""Member"":""Vampient"",""IsStaff"":false,""Rank"":""Licensed User"",""Query_Date"":""2021-03-29""},{""Query"":""SGl0IFdpbmRvd3MgS2V5ICsgciwgdHlwZSByZWdlZGl0IGFuZCBoaXQgZW50ZXIsIGdvIHRvIEhLRVlfQ1VSUkVOVF9VU0VSIC0+IFNvZnR3YXJlIC0+IEFzc2h1cnQgLT4gYW5kIGRlbGV0ZSBwd2RfYmV0YV9uZXcgYW5kIHVzcl9iZXRhX25ldyBlbnRyaWVzLiBodHRwOi8vcHJudHNjci5jb20vMTB5Y2lvNw=="",""Member"":""IcePools"",""IsStaff"":true,""Rank"":""Head of Operations"",""Query_Date"":""2021-03-28""},{""Query"":""SXZlIHJlaW5zdGFsbGVkIFJvYmxveCwgc2lyaHVydCBhbmQgYWxsIHRoZSByZXF1aXJlZCBkb3dubG9hZHMuIFRoZSBsb2cgaW4gYWZ0ZXIgaW5qZWN0IHN0aWxsIHdvbnQgY29tZQ=="",""Member"":""Vampient"",""IsStaff"":false,""Rank"":""Licensed User"",""Query_Date"":""2021-03-28""},{""Query"":""ZG9lc250IHdvcms="",""Member"":""Vampient"",""IsStaff"":false,""Rank"":""Licensed User"",""Query_Date"":""2021-03-28""},{""Query"":""VHJ5IGVuYWJsaW5nIG11bHRpIHByb2Nlc3MgYXBwbGljYXRpb24gdGhlbiB0cnkgaW5qZWN0aW5nIGFnYWluLg=="",""Member"":""IcePools"",""IsStaff"":true,""Rank"":""Head of Operations"",""Query_Date"":""2021-03-27""},{""Query"":""SXQgaXM="",""Member"":""Vampient"",""IsStaff"":false,""Rank"":""Licensed User"",""Query_Date"":""2021-03-27""},{""Query"":""UGxlYXNlIGVuc3VyZSBhbGwgeW91ciBhbnRpIHZpcnVzIHNvZnR3YXJlIGlzIG9mZiBiZWZvcmUgaW5qZWN0aW5nIHNpcmh1cnQu"",""Member"":""IcePools"",""IsStaff"":true,""Rank"":""Head of Operations"",""Query_Date"":""2021-03-27""},{""Query"":""aXZlIHJlaW5zdGFsbGVkIGV2ZXJ5dGhpbmc="",""Member"":""Vampient"",""IsStaff"":false,""Rank"":""Licensed User"",""Query_Date"":""2021-03-26""},{""Query"":""VGhlIGxvZ2luIG1lbnUgd29udCBjb21lIHVwIHdoZW4gSSBpbmplY3Qu"",""Member"":""Vampient"",""IsStaff"":false,""Rank"":""Licensed User"",""Query_Date"":""2021-03-26""},{""Query"":""SGVsbG8gdGhlcmUhIFdlcmUgc29ycnkgdG8gaGVhciBhYm91dCB5b3VyIGlzc3VlIGFuZCBob3BlIHRvIGdldCBpdCBmaXhlZCBhcyBzb29uIGFzIHBvc3NpYmxlIVxuUGxlYXNlIGhlYWQgb3ZlciB0byBodHRwczovL3Npcmh1cnQubmV0L2xvZ2luL2Rvd25sb2FkLnBocCBhbmQgZW5zdXJlIHlvdSBoYXZlIGVhY2ggb2YgdGhlIGZpbGVzIHVuZGVyIFJlcXVpcmVkIERvd25sb2FkcyBpbnN0YWxsZWQgb24geW91ciBjb21wdXRlci5cbklmIHlvdSBhbHJlYWR5IGhhdmUgdGhlc2UgZmlsZXMgaW5zdGFsbGVkLCBwbGVhc2UgdW5pbnN0YWxsIGFsbCBvZiB0aGVtLCByZWluc3RhbGwgYWxsIG9mIHRoZW0sIHRoZW4gcmVzdGFydCB5b3VyIGNvbXB1dGVyIHRoZW4gdHJ5IFNpckh1cnQgb25jZSBhZ2Fpbi5cblxuVGhhbmtzLA=="",""Member"":""IcePools"",""IsStaff"":true,""Rank"":""Head of Operations"",""Query_Date"":""2021-03-26""},{""Query"":""T2theS4gSSBzdGlsbCByZXF1aXJlIGFzc2lzdGFuY2Ugb24gU2lySHVydCDwn5it8J+YrfCfmK0="",""Member"":""Vampient"",""IsStaff"":false,""Rank"":""Licensed User"",""Query_Date"":""2021-03-26""},{""Query"":""WWVzIGl0IGlzIGFnYWluc3QgVE9TLCBwbGVhc2UgZG8gbm90IHNoYXJlIHlvdXIgb3IgYW55b25lIGVsc2VzIGZpbGVzIGFzIHRoZXkgbWF5IGNvbnRhaW4gc2Vuc2l0aXZlIGluZm9ybWF0aW9uLg=="",""Member"":""minikid133"",""IsStaff"":true,""Rank"":""Staff Member"",""Query_Date"":""2021-03-26""},{""Query"":""8J+YrfCfmK0="",""Member"":""Vampient"",""IsStaff"":false,""Rank"":""Licensed User"",""Query_Date"":""2021-03-26""},{""Query"":""SSByZXNldCBteSBwYyB0aGVuIGluc3RhbGxlZCBzaXJodXJ0IGFzIHdlbGwgYXMgYWxsIHRoZSByZXF1aXJlZCBhcHAuIEl0IGluamVjdHMgYnV0IHRoZSBsb2dpbiBwcm9tcHQgZG9lc250IGNvbWUuIEkgaGF2ZSBoYWQgdGhpcyBpc3N1ZSBiZWZvcmUgYW5kIHdhcyBzZW50IGFuIGluamVjdG9yIGZyb20gc3RhZmYgYnV0IGFwcGFyZW50bHksIGl0cyBub3cgYWdhaW5zdCBUT1MgdG8gc2VuZCBmaWxlcz8="",""Member"":""Vampient"",""IsStaff"":false,""Rank"":""Licensed User"",""Query_Date"":""2021-03-26""}]}",Technical Issues,Vampient,SOLVED,"[""minikid133"",""IcePools""]"
JHs2TrJadY,2001:8a0:fe27:d100:41a:c60d:6e4f:b64,"{""Queries"":[{""Query"":""VGhpcyB0aWNrZXQgd2FzIG1hcmtlZCBhcyByZXNvbHZlZCBieSBJY2VQb29scw=="",""Member"":""IcePools"",""IsStaff"":false,""Rank"":""N/A"",""Query_Date"":""2021-03-27""},{""Query"":""UGxlYXNlIG5vdGUgdGhhdCBvdXIgZGlzY29yZCBpcyBjdXJyZW50bHkgc2V0IHRvIGF1dG8tam9pbiBvbmx5LCB3aGljaCBtZWFucyB3aGVuIHlvdSBvcGVuIHNpcmh1cnQgdjQuZXhlIGl0IHNob3VsZCBhdXRvbWF0aWNhbGx5IGpvaW4gdGhlIGRpc2MgSUYgeW91IGhhdmUgdGhlIGRpc2NvcmQgZGVza3RvcCBjbGllbnQuIFRoaXMgaXMgZHVlIHRvIHNvbWUgaWRpb3QgcmVwb3J0aW5nIHRoZSBkaXNjIG92ZXIgYW5kIG92ZXIgbGVhZGluZyBpdCB0byBiZSBkb3duZWQgMyB0aW1lcyBpbiBhIHNpbmdsZSBkYXkuIEl0IHdpbGwgbGlrZWx5IGdvIHB1YmxpYyBhZ2FpbiwgYWZ0ZXIgc29tZSB0aW1lLiBodHRwczovL2Rpc2NvcmQuZ2cvQlk4M2dranNIZg=="",""Member"":""IcePools"",""IsStaff"":true,""Rank"":""Head of Operations"",""Query_Date"":""2021-03-27""},{""Query"":""V2hhdHMgdGhlIGRpc2NvcmQgaW52aXRlP1xuU29tZW9uZSByZXBsaWVkIG9uIHRoZSBsYXN0IHRpY2tldCB0aGF0IEkgbWFkZSBhYm91dCBpdCBidXQgdGhlIGludml0ZSB3YXMgaW52YWxpZCBmb3Igc29tZSByZWFzb24="",""Member"":""Flim8989"",""IsStaff"":false,""Rank"":""Licensed User"",""Query_Date"":""2021-03-26""}]}",General Inquiry,Flim8989,SOLVED,<blank>
ju9PjpAoG0,71.232.139.82,"{""Queries"":[{""Query"":""VGhpcyB0aWNrZXQgd2FzIG1hcmtlZCBhcyByZXNvbHZlZCBieSBJY2VQb29scw=="",""Member"":""IcePools"",""IsStaff"":false,""Rank"":""N/A"",""Query_Date"":""2021-03-27""},{""Query"":""aHR0cHM6Ly9kaXNjb3JkLmdnL1c4WkdVNm1wbmo="",""Member"":""IcePools"",""IsStaff"":true,""Rank"":""Head of Operations"",""Query_Date"":""2021-03-27""},{""Query"":""RGlzY29yZCBiYWNrIHVwPyBKdXN0IHdvbmRlcmluZy4="",""Member"":""Krispcode"",""IsStaff"":false,""Rank"":""Licensed User"",""Query_Date"":""2021-03-26""}]}",General Inquiry,Krispcode,SOLVED,<blank>
Kar0U6eKVW,2601:648:8202:dd50:b916:c74b:1da4:1a00,"{""Queries"":[{""Query"":""VGhpcyB0aWNrZXQgd2FzIG1hcmtlZCBhcyByZXNvbHZlZCBieSBJY2VQb29scw=="",""Member"":""IcePools"",""IsStaff"":false,""Rank"":""N/A"",""Query_Date"":""2021-03-27""},{""Query"":""aHR0cHM6Ly9kaXNjb3JkLmdnL1c4WkdVNm1wbmo="",""Member"":""IcePools"",""IsStaff"":true,""Rank"":""Head of Operations"",""Query_Date"":""2021-03-27""},{""Query"":""SSBjYW50IGpvaW4gdGhlIGRpc2NvcmQ="",""Member"":""goog"",""IsStaff"":false,""Rank"":""Licensed User"",""Query_Date"":""2021-03-26""}]}",General Inquiry,goog,SOLVED,<blank>
Evka5usqvo,130.105.52.162,"{""Queries"":[{""Query"":""VGhpcyB0aWNrZXQgd2FzIG1hcmtlZCBhcyByZXNvbHZlZCBieSBtaW5pa2lkMTMz"",""Member"":""minikid133"",""IsStaff"":true,""Rank"":""N/A"",""Query_Date"":""2021-04-02""},{""Query"":""SGVsbG8gdGhlcmUhIFdlcmUgc29ycnkgdG8gaGVhciBhYm91dCB5b3VyIGlzc3VlIGFuZCBob3BlIHRvIGdldCBpdCBmaXhlZCBhcyBzb29uIGFzIHBvc3NpYmxlIVxuUGxlYXNlIGhlYWQgb3ZlciB0byBodHRwczovL3Npcmh1cnQubmV0L2xvZ2luL2Rvd25sb2FkLnBocCBhbmQgZW5zdXJlIHlvdSBoYXZlIGVhY2ggb2YgdGhlIGZpbGVzIHVuZGVyIFJlcXVpcmVkIERvd25sb2FkcyBpbnN0YWxsZWQgb24geW91ciBjb21wdXRlci5cbklmIHlvdSBhbHJlYWR5IGhhdmUgdGhlc2UgZmlsZXMgaW5zdGFsbGVkLCBwbGVhc2UgdW5pbnN0YWxsIGFsbCBvZiB0aGVtLCByZWluc3RhbGwgYWxsIG9mIHRoZW0sIHRoZW4gcmVzdGFydCB5b3VyIGNvbXB1dGVyIHRoZW4gdHJ5IFNpckh1cnQgb25jZSBhZ2Fpbi5cblxuVGhhbmtzLA=="",""Member"":""IcePools"",""IsStaff"":true,""Rank"":""Head of Operations"",""Query_Date"":""2021-03-27""},{""Query"":""Y3Jhc2hpbmcgc28gbWFueSB0aW1lcyA="",""Member"":""joseptaton100"",""IsStaff"":false,""Rank"":""Licensed User"",""Query_Date"":""2021-03-26""}]}",General Inquiry,joseptaton100,SOLVED,"[""minikid133""]"
UepsxyAWle,173.184.145.108,"{""Queries"":[{""Query"":""VGhpcyB0aWNrZXQgd2FzIGNsb3NlZCBieSBJY2VQb29scw=="",""Member"":""IcePools"",""IsStaff"":false,""Rank"":""N/A"",""Query_Date"":""2021-03-27""},{""Query"":""aHR0cHM6Ly9kaXNjb3JkLmdnL1c4WkdVNm1wbmo="",""Member"":""IcePools"",""IsStaff"":true,""Rank"":""Head of Operations"",""Query_Date"":""2021-03-27""},{""Query"":""SGkgdGhlcmUsIGhvcGVmdWxseSB0aGlzIGlzbnQgYSBtaXMtdXNlIG9mIGEgdGlja2V0LCBidXQgaW0gd29uZGVyaW5nIGlmIGkgY2FuIGdldCBhIGludml0ZSB0byB0aGUgbmV3IGRpc2NvcmQgc2VydmVyIChpZiB0aGVyZSBpcyBvbmUpPyBJIG5lZWQgaXQgZm9yIHRoZSBzY3JpcHQgc2VjdGlvbiB0byBiZSBleGFjdCwgaSBjYW50IGZpbmQgdGhlIG9sZCBhbnRpIGFudGkgc2lyaHVydCBzY3JpcHQgYW5kIGkgZG9udCBoYXZlIGl0IGluIG15IGF1dG8gZXhlYyBmb3Igc29tZSByZWFzb24sIGFueSBoZWxwIGlzIGdsYWRseSBhcHByZWNpYXRlZCwgaWYgdGhlcmUgaXMgYSBuZXcgZGlzY29yZCBiZWluZyBjcmVhdGVkIHNvb24sIG5vdGlmeSBtZSBpZiB5b3UgY2FuICh0aGF0IGlzIGlmIHlvdSBjYW4gc3RpbGwgcmVwbHkgdG8gdGhpcyBhZnRlciBpIG1ha2UgdGhlIHRpY2tldCBvciBjYW4gcmVtZW1iZXIgaSBndWVzcywgaWYgeW91IGNhbnQgaSBndWVzcyBzaXJodXJ0IHdpbGwganVzdCBhdXRvIGpvaW4gaXQgc28pIA=="",""Member"":""MrDoom"",""IsStaff"":false,""Rank"":""Licensed User"",""Query_Date"":""2021-03-27""}]}",General Inquiry,MrDoom,CLOSED,<blank>
02O3pLkSjc,206.174.104.191,"{""Queries"":[{""Query"":""VGhpcyB0aWNrZXQgd2FzIG1hcmtlZCBhcyByZXNvbHZlZCBieSBtaW5pa2lkMTMz"",""Member"":""minikid133"",""IsStaff"":true,""Rank"":""N/A"",""Query_Date"":""2021-04-02""},{""Query"":""SSBhbHJlYWR5IG1hcmtlZCB0aGUgb3JkZXIgYXMgY29tcGxldGUgZGF5cyBhZ28gYW5kIHlvdSBzaG91bGR2ZSBnb3R0ZW4gYW4gZW1haWwgd2l0aCB0aGUgcHJvZHVjdA=="",""Member"":""IcePools"",""IsStaff"":true,""Rank"":""Head of Operations"",""Query_Date"":""2021-03-28""},{""Query"":""QmVjYXVzZSBJIGRpZG50IGRvIGl0IHJpZ2h0LCBjb3VsZCBJIGdldCBhIHJlZnVuZCBiZWNhdXNlIGl0cyBub3QgcGFpZD8="",""Member"":""brealynnsaucy"",""IsStaff"":false,""Rank"":""Licensed User"",""Query_Date"":""2021-03-27""},{""Query"":""SXMgdGhlcmUgYW55IHJlYXNvbiB3aHkgeW91IHJlLW9wZW5lZCB0aGlzIHRpY2tldD8gVGhlcmUgd2VyZSBvbmx5IHR3byBjYXNoYXBwIHBheW1lbnRzIG1hZGUgeWVzdGVyZGF5LCBvbmUgd2FzIGFscmVhZHkgcmVmdW5kZWQsIGFuZCB0aGUgb3RoZXIgcmVmdW5kIHdhcyBkZWNsaW5lZCBiZWNhdXNlIEkgbWFuYWdlZCB0byBmaW5kIHRoZSB1bnBhaWQgaW52b2ljZSB2aWEgc2VsbHkgZm9yIHRoYXQgdHJhbnNhY3Rpb24gYW5kIG1hbnVhbGx5IG1hcmsgaXQgYXMgcGFpZCBiZWNhdXNlIHRoZXkgZGlkbnQgZG8gaXQgcmlnaHQgdG8gbWFrZSBpdCBnbyB0aHJvdWdoIGF1dG9tYXRpY2FsbHku"",""Member"":""IcePools"",""IsStaff"":true,""Rank"":""Head of Operations"",""Query_Date"":""2021-03-27""},{""Query"":""VGhpcyB0aWNrZXQgd2FzIHJlLW9wZW5lZCBieSBicmVhbHlubnNhdWN5"",""Member"":""brealynnsaucy"",""IsStaff"":false,""Rank"":""N/A"",""Query_Date"":""2021-03-27""},{""Query"":""VGhpcyB0aWNrZXQgd2FzIGNsb3NlZCBieSBJY2VQb29scw=="",""Member"":""IcePools"",""IsStaff"":false,""Rank"":""N/A"",""Query_Date"":""2021-03-27""},{""Query"":""SSBhbHJlYWR5IHJlZnVuZGVkIHRoZSBjYXNoYXBwIHBheW1lbnQgZWFybGllci4gWW91cmUgZnJlZSB0byBwdXJjaGFzZS4="",""Member"":""IcePools"",""IsStaff"":true,""Rank"":""Head of Operations"",""Query_Date"":""2021-03-27""},{""Query"":""SSB3YXMgZG9pbmcgdGhlIGNhc2ggYXBwIHBheW1lbnQgYW5kIEkgZm9yZ290IHRvIGFkZCB0aGUgbm90ZSwgSSByZXF1ZXN0ZWQgYSByZWZ1bmQuIENvdWxkIHlvdSBwbGVhc2UgYWNjZXB0IGl0IHNvIEkgY2FuIGJ1eSBpdCB3aXRoIHRoZSBub3RlIHNlcmlhbCBjb2RlPw=="",""Member"":""brealynnsaucy"",""IsStaff"":false,""Rank"":""Licensed User"",""Query_Date"":""2021-03-27""}]}",General Inquiry,brealynnsaucy,SOLVED,"[""minikid133""]"
zavJZAC4Kx,180.241.171.65,"{""Queries"":[{""Query"":""VGhpcyB0aWNrZXQgd2FzIG1hcmtlZCBhcyByZXNvbHZlZCBieSBJY2VQb29scw=="",""Member"":""IcePools"",""IsStaff"":false,""Rank"":""N/A"",""Query_Date"":""2021-03-27""},{""Query"":""ZGlzY29yZC5nZy9DNlZKV0p4UQ=="",""Member"":""IcePools"",""IsStaff"":true,""Rank"":""Head of Operations"",""Query_Date"":""2021-03-27""},{""Query"":""YW55IGRpc2NvcmQgc2VydmVyPw=="",""Member"":""fickoeizy"",""IsStaff"":false,""Rank"":""Licensed User"",""Query_Date"":""2021-03-27""}]}",General Inquiry,fickoeizy,SOLVED,<blank>
evyTOB0hSA,91.158.164.180,"{""Queries"":[{""Query"":""VGhpcyB0aWNrZXQgd2FzIG1hcmtlZCBhcyByZXNvbHZlZCBieSBJY2VQb29scw=="",""Member"":""IcePools"",""IsStaff"":false,""Rank"":""N/A"",""Query_Date"":""2021-03-27""},{""Query"":""ZGlzY29yZC5nZy9TZVJaODVLRw=="",""Member"":""IcePools"",""IsStaff"":true,""Rank"":""Head of Operations"",""Query_Date"":""2021-03-27""},{""Query"":""SSBjYW50IGZpbmQgdGhlIGRpc2NvcmQgc2VydmVyIGludml0ZSBhbnl3aGVyZS4gV2hhdCBoYXBwZW5lZD8gSSB3YXMgaW4gdGhlIHNlcnZlciwgYnV0IG5vdCBhbnltb3JlLg=="",""Member"":""Eemeliok"",""IsStaff"":false,""Rank"":""Licensed User"",""Query_Date"":""2021-03-27""}]}",General Inquiry,Eemeliok,SOLVED,<blank>
Y0DbG8tKOK,5.59.149.235,"{""Queries"":[{""Query"":""VGhpcyB0aWNrZXQgd2FzIGNsb3NlZCBieSBBSEZGUg=="",""Member"":""AHFFR"",""IsStaff"":false,""Rank"":""N/A"",""Query_Date"":""2021-03-27""},{""Query"":""VGhpcyB0aWNrZXQgd2FzIHJlLW9wZW5lZCBieSBBSEZGUg=="",""Member"":""AHFFR"",""IsStaff"":false,""Rank"":""N/A"",""Query_Date"":""2021-03-27""},{""Query"":""VGhpcyB0aWNrZXQgd2FzIGNsb3NlZCBieSBBSEZGUg=="",""Member"":""AHFFR"",""IsStaff"":false,""Rank"":""N/A"",""Query_Date"":""2021-03-27""},{""Query"":""aSBkb250IHJlbWViZWFyIG15IG9sZCBzaXJodXJ0IHBhc3N3b3Jk"",""Member"":""AHFFR"",""IsStaff"":false,""Rank"":""Free Member"",""Query_Date"":""2021-03-27""}]}",General Inquiry,AHFFR,CLOSED,<blank>
i0K1yCp4rR,92.14.97.138,"{""Queries"":[{""Query"":""VGhpcyB0aWNrZXQgd2FzIG1hcmtlZCBhcyByZXNvbHZlZCBieSBJY2VQb29scw=="",""Member"":""IcePools"",""IsStaff"":false,""Rank"":""N/A"",""Query_Date"":""2021-03-27""},{""Query"":""ZGlzY29yZC5nZy9TZVJaODVLRw=="",""Member"":""IcePools"",""IsStaff"":true,""Rank"":""Head of Operations"",""Query_Date"":""2021-03-27""},{""Query"":""SSBqdXN0IHdhbm5hIGJlIGFwYXJ0IG9mIHRoZSBjb21tdW5pdHk="",""Member"":""devboi"",""IsStaff"":false,""Rank"":""Licensed User"",""Query_Date"":""2021-03-27""},{""Query"":""RGlzY29yZCBTZXJ2ZXIgbGluayBpbnZhbGlkLg=="",""Member"":""devboi"",""IsStaff"":false,""Rank"":""Licensed User"",""Query_Date"":""2021-03-27""}]}",Technical Issues,devboi,SOLVED,<blank>
